"Waar ligt Nederland in Europa?","Where is the Netherlands located in Europe?","In Noordwest-Europa","In Zuid-Europa","In Oost-Europa","In Noord-Europa","option1"
"Met welke landen grenst Nederland?","Which countries border the Netherlands?","België en Duitsland","Frankrijk en Spanje","Denemarken en Zweden","Italië en Oostenrijk","option1"
"Hoeveel provincies heeft Nederland?","How many provinces does the Netherlands have?","12","10","8","14","option1"
"Welke zee ligt ten westen en noorden van Nederland?","Which sea lies to the west and north of the Netherlands?","De Noordzee","De Oostzee","De Middellandse Zee","De Zwarte Zee","option1"
"Wat is de hoofdstad van Nederland?","What is the capital of the Netherlands?","Amsterdam","Rotterdam","Den Haag","Utrecht","option1"
"In welk klimaat ligt Nederland?","In what climate is the Netherlands located?","Gematigd zeeklimaat","Tropisch klimaat","Woestijnklimaat","Poolklimaat","option1"
"Wat is een polder?","What is a polder?","Drooggelegd land omringd door dijken","Een groot bosgebied","Een hoog berggebied","Een strandgebied","option1"
"Wat is de functie van dijken in Nederland?","What is the function of dikes in the Netherlands?","Ze beschermen tegen overstromingen","Ze zijn alleen voor transport","Ze zijn voor olieopslag","Ze zijn voor drinkwatervoorziening","option1"
"Welk land ligt ten oosten van Nederland?","Which country lies to the east of the Netherlands?","Duitsland","België","Frankrijk","Luxemburg","option1"
"Welke grote rivier stroomt door Nederland?","Which major river flows through the Netherlands?","De Rijn","De Donau","De Thames","De Seine","option1"

"Welke staatsvorm heeft Nederland?","What form of government does the Netherlands have?","Constitutionele monarchie","Republiek","Dictatuur","Militaire staat","option1"
"Wat is de Tweede Kamer?","What is the Second Chamber?","Het direct gekozen deel van het parlement","De Raad van State","Het Europees Parlement","Het Koninklijk Huis","option1"
"Hoe vaak zijn er verkiezingen voor de Tweede Kamer?","How often are there elections for the Second Chamber?","Eens per vier jaar","Eens per jaar","Eens per twee jaar","Eens per vijf jaar","option1"
"Wie mogen stemmen bij de Tweede Kamerverkiezingen?","Who can vote in the Second Chamber elections?","Nederlandse burgers van 18 jaar en ouder","Alle inwoners ongeacht nationaliteit","Kinderen vanaf 12 jaar","Alleen mannen boven 18","option1"
"Wat is de taak van de regering?","What is the task of the government?","Het land besturen en wetten uitvoeren","Alleen belastingen innen","Alleen ceremonies uitvoeren","Geen enkele taak","option1"
"Wat is de Staten-Generaal?","What are the States General?","Het Nederlandse parlement","De lokale politie","De Europese Commissie","De Hoge Raad","option1"
"Hoe heet de Eerste Kamer ook wel?","What is the First Chamber also called?","De Senaat","De Volksraad","Het Lagerhuis","De Bondsraad","option1"
"Door wie wordt de Eerste Kamer gekozen?","By whom is the First Chamber elected?","Door de Provinciale Staten","Door de burgers rechtstreeks","Door de koning","Door de Europese Raad","option1"
"Wat gebeurt er in een democratie?","What happens in a democracy?","Burgers kiezen hun vertegenwoordigers","Een persoon heeft alle macht","Er zijn geen verkiezingen","Alle macht ligt bij de koning","option1"
"Wie vormt samen met de koning de regering?","Who forms the government together with the King?","De ministers","De rechters","De burgemeesters","De Staten-Generaal","option1"

"Wie is het staatshoofd van Nederland?","Who is the head of state of the Netherlands?","De koning","De premier","De voorzitter van de Tweede Kamer","De burgemeester van Amsterdam","option1"
"Wat is de rol van de koning in Nederland?","What is the king's role in the Netherlands?","Ceremonieel en symbolisch","Absolute macht uitoefenen","Ministers benoemen zonder advies","Leden van de Tweede Kamer kiezen","option1"
"Hoe wordt de troonopvolging in Nederland bepaald?","How is the succession to the throne determined in the Netherlands?","Volgens erfopvolging binnen het koninklijk huis","Door verkiezingen","Door loting","Door de Eerste Kamer","option1"
"Wat is Koningsdag?","What is King's Day?","De verjaardag van de koning","De nationale verkiezingsdag","De dag van de boeren","De dag van de politie","option1"
"Waar woont de koning meestal?","Where does the King usually live?","In een paleis in Den Haag","In de Tweede Kamer","In het stadhuis van Amsterdam","In een gewoon woonhuis","option1"
"Wat gebeurt er tijdens Prinsjesdag?","What happens on Prinsjesdag?","De koning leest de troonrede voor","Er zijn nationale sportwedstrijden","Burgers kiezen de premier","Er worden nieuwe koningen gekozen","option1"
"Wie schrijft de Troonrede?","Who writes the Speech from the Throne?","De ministers (regering)","De koning alleen","De Eerste Kamerleden","De burgemeester van Den Haag","option1"
"Wat is de Gouden Koets?","What is the Golden Carriage?","Het voertuig waarin de koning op Prinsjesdag rijdt","Een bus voor de Tweede Kamerleden","Een veerpont in Rotterdam","Een trein van de NS","option1"
"Welke familie vormt het koninklijk huis?","Which family forms the royal house?","De familie van Oranje-Nassau","De familie De Wit","De familie Rembrandt","De familie van Beethoven","option1"
"Welke invloed heeft de koning op politieke beslissingen?","What influence does the King have on political decisions?","Hij heeft vooral een symbolische rol, weinig politieke macht","Hij bepaalt alle wetten","Hij mag veto uitspreken over alle wetten","Hij kiest persoonlijk de premier","option1"

"Wat zijn Provinciale Staten?","What are the Provincial States?","Het parlement op provinciaal niveau","De rechterlijke macht","Een adviesraad van de koning","Een Europese instelling","option1"
"Wie is de hoogste baas in de gemeente?","Who is the highest authority in the municipality?","De burgemeester","De premier","De koning","De commissaris van de Koning","option1"
"Wat is een gemeente?","What is a municipality?","Een lokale bestuurslaag","Een religieuze instelling","Een bedrijf","Een provincie","option1"
"Wie kiezen de leden van de gemeenteraad?","Who elects the members of the municipal council?","De inwoners van de gemeente","De koning","De Eerste Kamer","De Europese Commissie","option1"
"Hoe heet het hoofd van een provincie?","What is the head of a province called?","De commissaris van de Koning","De burgemeester","De minister-president","De stadsregent","option1"
"Wat doet de gemeenteraad?","What does the municipal council do?","Beslist over lokale zaken","Beheert de landsgrenzen","Beheert de munt","Is verantwoordelijk voor de rechtspraak","option1"
"Waarvoor kun je bij het gemeentehuis terecht?","What can you do at the town hall?","Paspoorten aanvragen, huwelijken sluiten","Boodschappen doen","Medische behandeling krijgen","Je rijbewijs halen zonder examen","option1"
"Hoe heet de vergadering waar de gemeente besluit over lokale plannen?","What is the meeting called where the municipality decides on local plans?","Raadsvergadering","Ministerraad","Troonrede","Europa-raad","option1"
"Wat is de rol van de commissaris van de Koning?","What is the role of the King's commissioner?","Hij vertegenwoordigt de regering in de provincie","Hij is de nationale premier","Hij is burgemeester van alle steden","Hij beslist over alle gemeentelijke zaken","option1"
"Kun je als EU-burger stemmen bij gemeenteraadsverkiezingen in Nederland?","Can you as an EU citizen vote in municipal elections in the Netherlands?","Ja, als je in de gemeente woont","Nee, nooit","Alleen als je 10 jaar in Nederland woont","Alleen bij nationale verkiezingen","option1"

"Wat betekent een rechtsstaat?","What does a rule of law mean?","Iedereen moet zich aan de wet houden, ook de overheid","Alleen de overheid maakt de regels maar volgt ze niet","Er zijn geen vaste wetten","De koning bepaalt alleen de wetten","option1"
"Wat doet een rechter?","What does a judge do?","Beslist onafhankelijk in rechtszaken","Schrijft alle wetten","Bepaalt de prijs van producten","Controleert stemlokalen","option1"
"Wat is de Hoge Raad?","What is the Hoge Raad (Supreme Court)?","De hoogste rechterlijke instantie","Het gemeentebestuur","Een politieke partij","Een internationale organisatie","option1"
"Waarom is discriminatie verboden?","Why is discrimination forbidden?","Iedereen is gelijk voor de wet","Het helpt bij meer winst voor bedrijven","Het is alleen verboden in sommige landen","Discriminatie is economisch voordelig","option1"
